Date,Clicks,Impressions,CTR,Position
2026-06-04,4,455,0.88%,40.5
2026-06-05,4,448,0.89%,42.4
2026-06-06,5,495,1.01%,42.6
2026-06-07,1,454,0.22%,40.5
2026-06-08,5,420,1.19%,36.2
2026-06-09,2,261,0.77%,34.3
2026-06-10,4,302,1.32%,33
2026-06-11,1,304,0.33%,35.2
2026-06-12,2,292,0.68%,40.8
2026-06-13,2,363,0.55%,44.3
2026-06-14,0,290,0%,39.9
2026-06-15,2,310,0.65%,37.4
2026-06-16,4,330,1.21%,41
2026-06-17,1,377,0.27%,40.8
2026-06-18,3,1021,0.29%,46.8
2026-06-19,5,1035,0.48%,46.4
2026-06-20,8,804,1%,41.1
2026-06-21,10,579,1.73%,34.6
2026-06-22,6,791,0.76%,28.2
2026-06-23,4,559,0.72%,32
2026-06-24,3,583,0.51%,22
2026-06-25,2,678,0.29%,23.9
2026-06-26,6,709,0.85%,25.3
2026-06-27,7,542,1.29%,22.2
2026-06-28,13,562,2.31%,24.6
2026-06-29,5,576,0.87%,27
2026-06-30,12,681,1.76%,29.7
2026-07-01,6,669,0.9%,28.2
2026-07-02,11,722,1.52%,29.7
2026-07-03,7,580,1.21%,24.8
2026-07-04,8,706,1.13%,19.9
2026-07-05,7,726,0.96%,17.9
2026-07-06,11,1017,1.08%,18.4
2026-07-07,7,905,0.77%,17.3
2026-07-08,10,970,1.03%,17.9
2026-07-09,11,818,1.34%,16.3
2026-07-10,8,734,1.09%,17.8
2026-07-11,9,763,1.18%,17
2026-07-12,14,817,1.71%,14.2
2026-07-13,13,909,1.43%,15.4
2026-07-14,11,978,1.12%,16.9
2026-07-15,12,622,1.93%,16.1
2026-07-16,14,587,2.39%,18.6
2026-07-17,6,707,0.85%,17.4
2026-07-18,8,692,1.16%,16.9
2026-07-19,12,750,1.6%,13.9
2026-07-20,11,1358,0.81%,25.9
2026-07-21,14,1371,1.02%,26.6
2026-07-22,11,906,1.21%,22.1
2026-07-23,10,1248,0.8%,16.3
2026-07-24,11,786,1.4%,19
2026-07-25,7,882,0.79%,16.5
2026-07-26,21,1290,1.63%,13.2
2026-07-27,28,2197,1.27%,15.4
2026-07-28,26,2335,1.11%,16.3
2026-07-29,28,2610,1.07%,15.2
2026-07-30,27,2271,1.19%,16
2026-07-31,19,2236,0.85%,15.4
2026-08-01,24,1948,1.23%,16.6
2026-08-02,37,2026,1.83%,15.1
2026-08-03,32,1918,1.67%,12.2
2026-08-04,22,1551,1.42%,14.9
2026-08-05,21,1543,1.36%,15.3
2026-08-06,18,1387,1.3%,14.8
2026-08-07,17,1355,1.25%,14.1
2026-08-08,18,1282,1.4%,14.9
2026-08-09,21,1734,1.21%,15.8
2026-08-10,15,1773,0.85%,13.4
2026-08-11,25,2132,1.17%,15.1
2026-08-12,20,2497,0.8%,18.7
2026-08-13,22,2221,0.99%,15.3
2026-08-14,20,2387,0.84%,17.3
2026-08-15,39,2357,1.65%,15.5
2026-08-16,34,3156,1.08%,15.1
2026-08-17,43,3091,1.39%,14.5
2026-08-18,33,3198,1.03%,16.3
2026-08-19,40,3469,1.15%,16.7
2026-08-20,23,3154,0.73%,17.8
2026-08-21,16,2745,0.58%,16.2
2026-08-22,43,2907,1.48%,15.9
2026-08-23,41,3252,1.26%,14.9
2026-08-24,47,3527,1.33%,14.4
2026-08-25,37,3465,1.07%,13
2026-08-26,40,3381,1.18%,12.9
2026-08-27,40,3606,1.11%,14.9
2026-08-28,35,3419,1.02%,14.2
2026-08-29,41,3163,1.3%,13.3
2026-08-30,53,3544,1.5%,13.6
2026-08-31,59,4174,1.41%,13.3
2026-09-01,50,4100,1.22%,13
2026-09-02,61,3973,1.54%,12.3
2026-09-03,48,4001,1.2%,13.2
