Country,Clicks,Impressions,CTR,Position
United Kingdom,1370,113621,1.21%,18.54
United States,43,6911,0.62%,12.2
Ireland,40,1411,2.83%,10.57
Australia,23,1768,1.3%,15.32
Spain,17,684,2.49%,13.28
Netherlands,11,1578,0.7%,7.63
Germany,8,2082,0.38%,8.61
India,8,952,0.84%,19
Portugal,8,217,3.69%,8.36
Canada,7,704,0.99%,17.41
Italy,7,606,1.16%,18.72
France,7,491,1.43%,14.13
Belgium,7,301,2.33%,7.65
Poland,6,224,2.68%,7.97
Hungary,6,214,2.8%,7.13
Switzerland,5,262,1.91%,8.06
Finland,5,185,2.7%,6.69
Norway,5,175,2.86%,7.98
Denmark,4,425,0.94%,32.43
New Zealand,4,415,0.96%,14.53
Turkey,4,253,1.58%,25.17
Czechia,4,205,1.95%,7.53
Austria,4,201,1.99%,10.48
Greece,4,176,2.27%,8.24
Isle of Man,4,68,5.88%,7.66
Philippines,3,592,0.51%,17.62
Sweden,3,282,1.06%,10.23
Romania,3,252,1.19%,8.31
Singapore,3,241,1.24%,10.16
Thailand,2,207,0.97%,20.85
Japan,2,147,1.36%,10.51
Hong Kong,2,143,1.4%,9.33
Serbia,2,58,3.45%,6.55
Kenya,2,44,4.55%,14
Qatar,2,37,5.41%,9.62
Jersey,2,26,7.69%,7.5
Indonesia,1,301,0.33%,23.05
South Africa,1,256,0.39%,11.14
Mexico,1,179,0.56%,24.65
Morocco,1,138,0.72%,21.32
Slovakia,1,119,0.84%,5.82
Bulgaria,1,107,0.93%,7.51
Egypt,1,97,1.03%,15.92
Israel,1,86,1.16%,17.38
Croatia,1,85,1.18%,7.36
Lithuania,1,85,1.18%,7.86
Nigeria,1,66,1.52%,9.38
Malta,1,52,1.92%,7.17
Latvia,1,46,2.17%,8.57
Ecuador,1,41,2.44%,19.39
Albania,1,30,3.33%,6.9
Iceland,1,29,3.45%,10.24
Jamaica,1,19,5.26%,10.21
Vietnam,0,399,0%,26.65
United Arab Emirates,0,347,0%,10.43
Malaysia,0,261,0%,19.31
Brazil,0,251,0%,14.25
Russia,0,212,0%,19.77
Pakistan,0,190,0%,20.01
Saudi Arabia,0,167,0%,16.19
Bangladesh,0,152,0%,24.97
Ukraine,0,123,0%,22.51
South Korea,0,108,0%,18.31
Argentina,0,93,0%,18.99
Algeria,0,81,0%,27.54
Colombia,0,80,0%,23.66
Jordan,0,79,0%,24.96
Cayman Islands,0,75,0%,10.65
Estonia,0,66,0%,8.64
Iraq,0,53,0%,18.92
Taiwan,0,46,0%,9.17
China,0,46,0%,10.74
Nepal,0,41,0%,12.05
Sri Lanka,0,40,0%,8.62
Peru,0,40,0%,19.73
Chile,0,39,0%,14.49
Slovenia,0,38,0%,5.97
Guernsey,0,37,0%,7.92
Bermuda,0,33,0%,8.88
Kuwait,0,32,0%,8.78
Venezuela,0,32,0%,24.78
Cyprus,0,29,0%,9.17
Lebanon,0,28,0%,7.79
Iran,0,28,0%,11.07
Luxembourg,0,26,0%,9.19
Ethiopia,0,24,0%,16.79
Turks & Caicos Islands,0,23,0%,9.83
Tunisia,0,22,0%,9.5
Dominican Republic,0,22,0%,18.41
British Virgin Islands,0,21,0%,7.71
Ghana,0,21,0%,9.9
Kazakhstan,0,20,0%,13.15
Georgia,0,19,0%,7.11
Belarus,0,19,0%,11.79
Cambodia,0,18,0%,12.22
Mauritius,0,17,0%,9.41
Brunei,0,15,0%,11.8
Zimbabwe,0,15,0%,11.87
Trinidad & Tobago,0,13,0%,10.38
Anguilla,0,13,0%,12.85
Bolivia,0,13,0%,14.77
Côte d’Ivoire,0,13,0%,24.54
Uganda,0,12,0%,4.08
Macedonia,0,12,0%,8
Paraguay,0,12,0%,18.17
Costa Rica,0,12,0%,26
Gibraltar,0,11,0%,5.36
Bosnia & Herzegovina,0,11,0%,8.73
Uruguay,0,11,0%,16
Barbados,0,10,0%,7
Azerbaijan,0,10,0%,8.4
Puerto Rico,0,10,0%,12.4
Syria,0,10,0%,16.7
Myanmar (Burma),0,9,0%,11.44
Oman,0,9,0%,13.56
Guatemala,0,9,0%,33.89
Bahrain,0,8,0%,8.75
Namibia,0,7,0%,7
Moldova,0,7,0%,7.57
Guam,0,7,0%,8
Aruba,0,6,0%,7.5
Mongolia,0,6,0%,15.33
Armenia,0,6,0%,17.17
Senegal,0,6,0%,22.17
Uzbekistan,0,6,0%,27.67
Tanzania,0,5,0%,7.2
Macau,0,5,0%,7.8
Honduras,0,5,0%,12.6
Panama,0,5,0%,13.8
Bahamas,0,5,0%,15.2
Palestine,0,5,0%,17.2
Kosovo,0,5,0%,23.4
Montenegro,0,4,0%,5.75
Zambia,0,4,0%,7.5
Montserrat,0,4,0%,9.75
Swaziland,0,4,0%,10.75
Grenada,0,4,0%,16.5
Congo - Brazzaville,0,4,0%,18
Togo,0,4,0%,26.5
El Salvador,0,4,0%,52
Suriname,0,3,0%,4.33
Antigua & Barbuda,0,3,0%,7.67
Botswana,0,3,0%,8.33
Liberia,0,3,0%,8.67
Unknown Region,0,3,0%,9.33
Congo - Kinshasa,0,3,0%,27.67
Cape Verde,0,3,0%,29.33
Rwanda,0,3,0%,40.33
Andorra,0,3,0%,63.33
St. Kitts & Nevis,0,2,0%,1
Seychelles,0,2,0%,4
Mali,0,2,0%,4.5
Somalia,0,2,0%,5
Maldives,0,2,0%,6
Guinea,0,2,0%,6.5
Laos,0,2,0%,6.5
Cuba,0,2,0%,7.5
Dominica,0,2,0%,9.5
Guyana,0,2,0%,9.5
Mozambique,0,2,0%,10
Burkina Faso,0,2,0%,10.5
Angola,0,2,0%,17
Belize,0,2,0%,21.5
Liechtenstein,0,2,0%,58.5
Fiji,0,1,0%,1
Yemen,0,1,0%,2
Gabon,0,1,0%,3
Lesotho,0,1,0%,4
Afghanistan,0,1,0%,6
St. Helena,0,1,0%,7
Libya,0,1,0%,10
Solomon Islands,0,1,0%,10
U.S. Virgin Islands,0,1,0%,11
Bhutan,0,1,0%,18
Nicaragua,0,1,0%,25
Malawi,0,1,0%,32
Kyrgyzstan,0,1,0%,49
Western Sahara,0,1,0%,71
